Timestamp,Jitter,Latency,Download Bandwidth,Upload Bandwidth,Download Throughput,Upload Throughput,Packet Loss
2022-03-08 07:49:51+00:00,2.024,47.924,42533585,1470118,0.2854911877803042,0.011138916015625,0.42735042735042733
2022-03-08 08:27:02+00:00,2.155,39.818,19805425,2639403,0.10708457759231772,0.01577711226032786,0.0
2022-03-08 08:45:22+00:00,2.091,47.873,37032212,1645374,0.24156039711763103,0.012450829741254851,0.0
2022-03-08 09:26:41+00:00,0.056,47.91,23732697,1471547,0.16136220703125,0.011141673080038885,0.0
2022-03-08 09:44:24+00:00,0.11,31.901,37693629,2429335,0.22281291164663863,0.018120434915016883,0.0
2022-03-08 10:26:51+00:00,0.473,39.449,11858682,2112638,0.08400589959328769,0.015812734680930543,0.0
2022-03-08 10:48:20+00:00,1.076,39.992,25523944,2479483,0.17965451920736944,0.015463362630208333,0.0
2022-03-08 11:26:48+00:00,0.355,39.672,32878351,2197521,0.20947675859963072,0.01530195669850405,0.6666666666666666
2022-03-08 11:48:58+00:00,0.043,39.949,40051812,2752070,0.2133803666353035,0.017273295269195653,1.0
2022-03-08 12:26:42+00:00,6.043,39.939,17441094,3033287,0.10230089487110494,0.022729857991988067,0.0
2022-03-08 12:48:40+00:00,0.144,27.825,34909293,3714761,0.22269068885887497,0.027827878872935252,0.0
2022-03-08 13:27:20+00:00,0.154,55.872,37775698,3001419,0.24908034371172896,0.019154268392198658,0.0
2022-03-08 13:44:56+00:00,0.053,47.944,35122464,3601357,0.18022607421875,0.027032776007185268,10.333333333333334
2022-03-08 14:26:44+00:00,6.722,39.915,5645861,2728404,0.031249349478750334,0.01963271777903772,0.3333333333333333
2022-03-08 14:44:43+00:00,0.1,42.558,8760497,3153197,0.044049659650245584,0.023241733541185243,0.0
2022-03-08 15:26:48+00:00,4.699,37.291,33886118,2346176,0.20450776766580941,0.017407312340332416,5.666666666666667
2022-03-08 15:48:48+00:00,0.098,39.888,33682335,1179075,0.23449728382878873,0.008230041324678616,3.5
2022-03-08 16:26:54+00:00,1.485,42.534,33361029,2681392,0.20973213093071966,0.018269109229909226,0.6666666666666666
2022-03-08 16:45:00+00:00,0.035,27.957,35962119,1304615,0.20966211090433617,0.009770516276605941,0.0
2022-03-08 17:26:41+00:00,0.028,39.958,21201365,2444187,0.12594936163850534,0.018171174671144742,5.038759689922481
2022-03-08 17:50:09+00:00,0.089,31.875,30887127,1564994,0.20551154054877405,0.012157009436921,0.0
2022-03-08 18:27:27+00:00,9.909,39.982,26394207,1782033,0.15838800850776616,0.013009554198209164,0.0
2022-03-08 18:45:10+00:00,4.694,37.326,16977760,558162,0.11559632790711892,0.004186772429032204,6.25
2022-03-08 19:26:51+00:00,1.417,31.944,33959951,2108266,0.20878623214599681,0.014247865050842428,0.37037037037037035
2022-03-08 19:44:48+00:00,6.033,39.949,26519086,3200835,0.12327053750931197,0.021377527879840697,4.195804195804196
2022-03-08 20:26:53+00:00,2.663,26.612,36553283,3702865,0.21748198913793856,0.024660749985939374,0.0
2022-03-08 20:45:28+00:00,3.363,39.967,22668752,3004274,0.1432058419754256,0.022005661858025546,0.3333333333333333
2022-03-08 21:26:51+00:00,6.603,39.931,17984053,2179720,0.12603267013276181,0.015239189945930688,0.0
2022-03-08 21:43:52+00:00,0.051,42.502,19263149,3676716,0.13043407554865138,0.027621508956263332,0.0
2022-03-08 22:26:52+00:00,0.212,26.502,22192444,2605083,0.1279450520269398,0.019207582048711886,0.0
2022-03-08 22:40:55+00:00,0.04,27.887,21744461,3483519,0.14828360188802084,0.023254581805608826,0.0
2022-03-08 23:26:53+00:00,0.019,39.937,39762799,2490594,0.2410420765488669,0.01691831981209968,0.0
2022-03-09 00:26:41+00:00,0.041,39.938,37639997,3054942,0.24855242582419013,0.023021810605078893,0.0
2022-03-09 00:43:55+00:00,12.073,47.928,33995939,2581542,0.21905273681396728,0.01851188476041632,0.6666666666666666
2022-03-09 01:26:50+00:00,0.102,39.871,31589495,2743611,0.22684823107528965,0.017628203198548097,0.0
2022-03-09 01:44:21+00:00,0.109,42.524,17008964,1895859,0.11232823515208472,0.013686045912779539,0.33444816053511706
2022-03-09 02:26:40+00:00,1.422,37.123,26787672,2511114,0.19353150024324317,0.01889558987117431,0.0
2022-03-09 02:48:18+00:00,0.133,39.898,11841200,2654674,0.09064078837000625,0.019448058055997273,0.0
2022-03-09 03:26:50+00:00,2.661,37.111,28612078,1978662,0.19427377522786457,0.014617050758007734,0.0
2022-03-09 03:47:35+00:00,0.154,26.514,32033723,1739144,0.2237433304554776,0.013295328492486934,0.0
2022-03-09 04:27:08+00:00,0.066,39.914,23378017,2869711,0.15334111300797645,0.021086370083769013,0.0
2022-03-09 04:44:36+00:00,0.114,39.897,36818183,3396038,0.24867500550767202,0.025611673561664907,0.0
2022-03-09 05:26:38+00:00,1.402,48.016,35305712,2877148,0.24436389890491453,0.02161130791337961,0.0
2022-03-09 05:43:39+00:00,4.064,42.495,30086833,2182472,0.20422261331232047,0.016253281106563648,0.0
2022-03-09 06:26:41+00:00,3.8,42.647,37238004,2788296,0.25433317881669654,0.020805560034537283,0.0
2022-03-09 06:44:34+00:00,2.048,31.929,29897591,4296041,0.21036636411516121,0.026239921925852443,0.6666666666666666
2022-03-09 07:27:41+00:00,1.367,53.281,36769759,2825620,0.21849016950074543,0.0213442919195523,0.3333333333333333
2022-03-09 07:48:17+00:00,0.096,47.836,22248365,1287596,0.15200249011504388,0.009129735578927618,0.0
2022-03-09 08:26:43+00:00,4.152,55.842,40421244,3679093,0.27099207897497707,0.027252921153245943,2.3333333333333335
2022-03-09 08:44:05+00:00,0.097,31.846,28875148,3490844,0.20509855992792375,0.023497916913963583,0.0
2022-03-09 09:26:55+00:00,5.861,39.871,26085071,1697989,0.1750481487361382,0.012808024038387465,0.0
2022-03-09 09:41:36+00:00,1.359,37.33,30281470,1993446,0.21464819622376738,0.014563748681199477,0.0
2022-03-09 10:26:51+00:00,3.611,27.962,28401268,2141676,0.17030596973053305,0.014648860620667245,0.0
2022-03-09 10:48:36+00:00,9.712,32.025,34846871,2742734,0.23595572333538264,0.020319478216661465,0.704225352112676
2022-03-09 11:26:56+00:00,3.401,39.855,36120699,3744959,0.21005259389048453,0.02831928206459547,0.0
2022-03-09 11:44:51+00:00,4.08,55.89,15219136,1077432,0.08601410207014329,0.007738975291333872,0.6666666666666666
2022-03-09 12:26:53+00:00,0.13,53.187,35897030,1647915,0.20172196014172455,0.011996090038567643,1.0
2022-03-09 12:52:13+00:00,0.03,39.944,31189132,3339892,0.20741970378890812,0.024938707196144466,0.7194244604316546
2022-03-09 13:26:58+00:00,5.031,43.871,18936110,2395850,0.10211688809545129,0.017463053859936833,0.0
2022-03-09 13:48:17+00:00,6.998,27.9,29500756,1019069,0.20734976742983316,0.007888453978079336,0.45045045045045046
2022-03-09 14:26:55+00:00,2.041,47.981,24065107,439615,0.13396871236165364,0.0038221476830182046,0.6666666666666666
2022-03-09 14:41:11+00:00,0.384,43.596,36069630,3719567,0.24013793018134433,0.025320044823821056,1.6666666666666667
2022-03-09 15:26:55+00:00,0.19,46.504,12022699,2739105,0.07781144708357278,0.0202779540119427,0.3333333333333333
2022-03-09 15:48:13+00:00,0.025,37.253,12819700,1398146,0.09831574923787752,0.010358029084724003,0.0
2022-03-09 16:26:48+00:00,0.179,31.805,18655206,1838551,0.1473597496657569,0.012787898349774673,0.0
2022-03-09 16:48:09+00:00,0.133,31.841,19076991,2445160,0.10822528898596812,0.01752268153306257,0.0
2022-03-09 17:27:25+00:00,1.378,26.578,43199254,1765704,0.28802499795912045,0.013552087858978046,0.0
2022-03-09 18:26:48+00:00,3.049,47.9,22413042,2554836,0.15286481496477552,0.01782885467067372,1.3333333333333333
2022-03-09 18:44:10+00:00,0.053,47.883,31810003,3514287,0.21869731941952392,0.024491357672843935,0.0
2022-03-09 19:26:52+00:00,13.911,40.021,26073717,2151332,0.17012945637196292,0.014521950571133799,1.3333333333333333
2022-03-09 19:45:21+00:00,0.181,35.845,30830677,2873045,0.18244505583183393,0.02173264422343532,0.0
2022-03-09 20:26:49+00:00,0.244,31.681,25079781,2397728,0.13489493408203124,0.019456886758609696,0.0
2022-03-09 20:41:13+00:00,1.951,47.989,14565273,2320432,0.06041600404263559,0.017365919264577614,0.6666666666666666
2022-03-09 21:27:05+00:00,13.263,40.038,12345377,1465056,0.0572431656435881,0.010780715558739105,0.0
2022-03-09 21:49:51+00:00,0.462,39.541,17985266,3161016,0.11061877992093273,0.022604103019062783,0.0
2022-03-09 22:31:41+00:00,0.129,47.862,32570359,2940279,0.191359583231852,0.022048434924397647,0.0
2022-03-09 22:50:21+00:00,0.12,55.916,34368336,2383215,0.22554972048874175,0.015369185672525302,0.6666666666666666
2022-03-09 23:32:09+00:00,0.1,39.866,28003308,2834224,0.18602513928843176,0.02123936534398709,0.0
2022-03-10 00:31:52+00:00,2.433,27.903,34176760,2556690,0.21021718185159424,0.01835969735158542,0.0
2022-03-10 00:49:18+00:00,5.281,37.236,18605558,921815,0.11741855236359111,0.006746963750516092,2.0
2022-03-10 01:31:39+00:00,4.019,42.574,15915112,4092015,0.10133301724820085,0.030645728296087693,9.698996655518394
2022-03-10 01:49:20+00:00,0.063,39.925,14729388,2302620,0.07797874586959103,0.01510611974824073,0.0
2022-03-10 02:31:50+00:00,0.133,47.908,25402313,3599417,0.1729553580585995,0.026831833112538957,2.0
2022-03-10 02:53:05+00:00,0.143,46.46,10744640,1806460,0.07332195013771452,0.013759524086806712,0.0
2022-03-10 03:31:43+00:00,6.03,35.942,32562558,1787929,0.21311552495665503,0.013618941637052307,0.3333333333333333
2022-03-10 03:53:25+00:00,0.048,39.95,36396068,1132666,0.2201940105143034,0.008664610853916021,4.0
2022-03-10 04:31:37+00:00,4.1,31.894,25327867,1726522,0.16892339914463508,0.012523779719770154,0.45871559633027525
2022-03-10 04:50:33+00:00,2.975,39.958,38245636,3827025,0.2789082597481541,0.026889395260659803,0.0
2022-03-10 05:31:38+00:00,65.672,31.84,24825532,2985973,0.1410412937780171,0.02231670328539058,1.3333333333333333
2022-03-10 05:48:54+00:00,4.06,47.944,27850264,2406519,0.18867995199788168,0.018435278848068695,0.0
2022-03-10 06:32:22+00:00,1.817,26.465,27809096,1237732,0.19455401085752133,0.009185340278154866,0.3333333333333333
2022-03-10 06:53:54+00:00,9.963,39.968,13606895,2329261,0.0827109877852926,0.017211006670395806,0.6666666666666666
2022-03-10 07:31:35+00:00,15.017,39.875,43501164,1556589,0.3051798251241173,0.010749429775134739,0.9433962264150944
2022-03-10 07:49:29+00:00,1.564,31.786,32399967,2055145,0.20749439840939934,0.015611151473706807,0.3333333333333333
2022-03-10 08:31:37+00:00,1.331,37.266,30230539,1677580,0.22118436768400146,0.01293700436096134,0.0
2022-03-10 08:46:11+00:00,0.148,26.51,32709989,2072132,0.20002436445695032,0.015517437707116378,0.0
2022-03-10 09:31:36+00:00,0.11,31.904,31329852,3118266,0.1872764105765345,0.02350370608327474,0.0
2022-03-10 09:49:10+00:00,2.018,31.914,23434658,2156546,0.16119499497529682,0.016193996525264966,0.45248868778280543
2022-03-10 10:31:48+00:00,2.699,32.359,20141756,1147374,0.12413288685953218,0.008151760190387342,2.0
2022-03-10 10:54:13+00:00,0.161,39.789,19873141,1860867,0.11496469461079091,0.013987464739168776,3.6666666666666665
2022-03-10 11:31:34+00:00,64.129,33.323,26872855,957027,0.17886466621566185,0.007356734704495006,0.3333333333333333
2022-03-10 11:46:12+00:00,0.222,31.672,24270929,876231,0.14226893198243162,0.005360472745354082,0.3333333333333333
2022-03-10 12:31:51+00:00,6.454,39.512,27048241,2035476,0.18970254481406967,0.013226859692039548,10.666666666666666
2022-03-10 12:49:35+00:00,0.108,39.798,24002821,3609274,0.170813610791573,0.027120104331031937,0.0
2022-03-10 13:31:39+00:00,0.123,31.865,23936347,2005443,0.15422163285932816,0.015148762208314175,0.0
2022-03-10 13:48:56+00:00,0.057,39.916,12527265,3668571,0.09024874298739248,0.02764821122332317,0.0
2022-03-10 14:31:39+00:00,2.058,47.902,10745942,3719770,0.06251912001012683,0.02686680102815647,0.0
2022-03-10 14:49:53+00:00,0.066,47.886,25764417,3229831,0.14255735434189706,0.023125420875969072,0.0
2022-03-10 15:31:38+00:00,2.421,27.887,18823129,3429289,0.09682533051582706,0.0252338743224723,0.0
2022-03-10 15:51:06+00:00,6.011,39.928,33238051,1740475,0.2218067302178899,0.01350446580079822,0.45871559633027525
2022-03-10 16:37:16+00:00,2.006,39.96,26653622,1312332,0.17592708963170833,0.009770117786538204,0.6666666666666666
2022-03-10 16:51:44+00:00,2.033,31.898,25129914,1945360,0.1547568379179266,0.01459083838884604,0.0
2022-03-10 17:36:59+00:00,0.035,39.94,34626888,3842669,0.20889994771228046,0.028493191881412853,0.0
2022-03-10 17:54:43+00:00,0.1,39.88,19572257,2656498,0.10658157987297137,0.018597205320930454,0.0
2022-03-10 18:37:14+00:00,2.391,27.939,11099107,1839809,0.06679339866925538,0.012202206577852962,0.0
2022-03-10 18:58:06+00:00,0.111,47.836,46802152,2919128,0.3213707997057005,0.022117440075620925,0.4672897196261682
2022-03-10 19:37:11+00:00,7.042,46.604,10816548,944921,0.06935387369791667,0.006675722759162609,0.0
2022-03-10 19:55:06+00:00,0.107,47.899,15225103,2464268,0.08540387974311758,0.018729751546664584,0.0
2022-03-10 20:37:11+00:00,2.115,39.949,22729385,4190855,0.1389617207939983,0.028027897135416667,0.3333333333333333
2022-03-10 20:51:29+00:00,0.04,42.607,17740518,2547103,0.10374271581230629,0.01738709563912368,0.3333333333333333
2022-03-10 21:37:11+00:00,2.377,27.836,19823537,1643404,0.14137752149556992,0.012358093465142148,0.0
2022-03-10 21:51:22+00:00,3.287,46.493,36401400,2374818,0.2471629681124367,0.017729301057997575,4.072398190045249
2022-03-10 22:37:10+00:00,0.065,39.912,36656932,3162570,0.21561159446318398,0.023686654114931805,0.3333333333333333
2022-03-10 22:51:58+00:00,0.32,53.034,23874817,4138595,0.14689907884308556,0.03048519246260599,3.6666666666666665
2022-03-10 23:37:08+00:00,0.105,31.843,39775656,2618219,0.2641899701707858,0.02007917999982964,0.3333333333333333
2022-03-11 00:37:09+00:00,0.061,55.93,34794105,2592833,0.23574693366492536,0.01955216487210028,0.0
